"","sveitarfelag","verd","staerd"
"400","Reykjavíkurborg",110000,55
"401","Hafnarfjarðarkaupstaður",160000,128.1
"402","Reykjavíkurborg",105000,73
"403","Reykjavíkurborg",1e+05,56.9
"404","Hafnarfjarðarkaupstaður",140000,104.4
"405","Reykjavíkurborg",1e+05,54
"406","Reykjavíkurborg",95000,43.3
"407","Reykjavíkurborg",80500,43
"408","Hafnarfjarðarkaupstaður",140000,200
"409","Garðabær",159000,119
"410","Hafnarfjarðarkaupstaður",125000,90
"411","Reykjavíkurborg",110000,80
"412","Reykjavíkurborg",87000,66.9
"413","Reykjavíkurborg",120000,61.2
"414","Hafnarfjarðarkaupstaður",65000,26
"415","Reykjavíkurborg",115000,51.1
"416","Reykjavíkurborg",95000,70
"417","Reykjavíkurborg",135000,77
"418","Reykjavíkurborg",79975,63.6
"419","Reykjavíkurborg",80000,59.1
"420","Hafnarfjarðarkaupstaður",130000,126.5
"421","Hafnarfjarðarkaupstaður",110000,80
"422","Reykjavíkurborg",135000,82.9
"423","Hafnarfjarðarkaupstaður",130000,105
"424","Reykjavíkurborg",115000,57
"425","Reykjavíkurborg",128000,86.6
"426","Kópavogsbær",128000,78
"427","Kópavogsbær",90000,102.2
"428","Hafnarfjarðarkaupstaður",70000,46.6
"429","Garðabær",125000,121.8
"430","Hafnarfjarðarkaupstaður",85000,80
"431","Reykjavíkurborg",140000,87
"432","Reykjavíkurborg",80000,51
"433","Reykjavíkurborg",105000,100
"434","Reykjavíkurborg",86650,64.2
"435","Reykjavíkurborg",110000,53
"436","Reykjavíkurborg",90000,64.5
"437","Reykjavíkurborg",125000,92
"438","Reykjavíkurborg",85000,55
"439","Reykjavíkurborg",1e+05,73
"440","Kópavogsbær",1e+05,113.7
"441","Reykjavíkurborg",110000,72
"442","Garðabær",80000,62.4
"443","Reykjavíkurborg",80000,58
"444","Reykjavíkurborg",170000,174.9
"445","Reykjavíkurborg",86650,59.9
"446","Reykjavíkurborg",110000,66.1
"447","Kópavogsbær",1e+05,72
"448","Kópavogsbær",140000,180.3
"449","Reykjavíkurborg",110000,53
"450","Reykjavíkurborg",98000,77
"451","Reykjavíkurborg",1e+05,60
"452","Reykjavíkurborg",93000,70.2
"453","Reykjavíkurborg",65000,30
"454","Reykjavíkurborg",86366,50.5
"455","Reykjavíkurborg",95000,110.6
"456","Kópavogsbær",140000,180.3
"457","Reykjavíkurborg",1e+05,57.6
"458","Hafnarfjarðarkaupstaður",67609,42.1
"459","Hafnarfjarðarkaupstaður",110000,69.4
"460","Reykjavíkurborg",85000,63.3
"461","Reykjavíkurborg",70000,60
"462","Reykjavíkurborg",75000,50
"463","Reykjavíkurborg",125000,98
"464","Hafnarfjarðarkaupstaður",67609,42.1
"465","Reykjavíkurborg",120000,87.1
"466","Reykjavíkurborg",1e+05,82.9
"467","Reykjavíkurborg",67609,42.1
"468","Reykjavíkurborg",120000,81.8
"469","Reykjavíkurborg",78528,82
"470","Hafnarfjarðarkaupstaður",120000,78.2
"471","Reykjavíkurborg",75000,63
"472","Reykjavíkurborg",67388,42.1
"473","Reykjavíkurborg",125000,79.6
"474","Reykjavíkurborg",110000,63.4
"475","Reykjavíkurborg",94000,48
"476","Reykjavíkurborg",131752,93.3
"477","Reykjavíkurborg",130000,83
"478","Reykjavíkurborg",70000,48
"479","Kópavogsbær",105000,77.8
"480","Garðabær",95364,63.1
"481","Reykjavíkurborg",1e+05,71.2
"482","Reykjavíkurborg",140000,90
"483","Reykjavíkurborg",150000,108
"484","Mosfellsbær",150000,145
"485","Reykjavíkurborg",185000,118.9
"486","Hafnarfjarðarkaupstaður",90000,70
"487","Reykjavíkurborg",110000,99.1
"488","Reykjavíkurborg",85000,43
"489","Reykjavíkurborg",87000,46
"490","Reykjavíkurborg",140000,99
"491","Reykjavíkurborg",120000,86
"492","Reykjavíkurborg",120000,97.9
"493","Garðabær",150000,111
"494","Reykjavíkurborg",125000,98.2
"495","Reykjavíkurborg",115000,124.6
"496","Mosfellsbær",104979,78.4
"497","Reykjavíkurborg",117000,75
"498","Reykjavíkurborg",85000,58
"499","Reykjavíkurborg",98000,54
"500","Hafnarfjarðarkaupstaður",90000,62
"501","Reykjavíkurborg",135000,80
"502","Reykjavíkurborg",130000,100
"503","Hafnarfjarðarkaupstaður",85000,60
"504","Reykjavíkurborg",90000,60
"505","Reykjavíkurborg",130000,99.6
"506","Reykjavíkurborg",125000,97
"507","Kópavogsbær",120000,117
"508","Reykjavíkurborg",110000,64
"509","Reykjavíkurborg",115000,79.1
"510","Reykjavíkurborg",80000,53.4
"511","Reykjavíkurborg",115000,59
"512","Kópavogsbær",1e+05,59.3
"513","Reykjavíkurborg",145000,88
"514","Reykjavíkurborg",130000,105
"515","Reykjavíkurborg",82566,60
"516","Reykjavíkurborg",120000,90
"517","Reykjavíkurborg",90000,67.5
"518","Kópavogsbær",65500,50
"519","Reykjavíkurborg",115000,87
"520","Reykjavíkurborg",110000,58
"521","Kópavogsbær",79255,94.6
"522","Hafnarfjarðarkaupstaður",115000,100
"523","Reykjavíkurborg",110000,79.2
"524","Kópavogsbær",150000,129.7
"525","Reykjavíkurborg",137000,75
"526","Reykjavíkurborg",80000,60
"527","Reykjavíkurborg",98000,65
