"","verd","staerd","fj_herb"
"719",113500,34.2,1
"720",230000,87.6,3
"721",180000,45.2,2
"722",195000,90,3
"723",199000,77,3
"724",170000,50,2
"725",160000,26.8,1
"726",2e+05,72,3
"727",148500,37.1,2
"728",187000,57.3,2
"729",220000,72.8,3
"730",250000,95.6,3
"731",240000,82.9,3
"732",180000,73.1,3
"733",163000,66.2,2
"734",165000,60.7,3
"735",177000,105.8,3
"736",230000,81.5,3
"737",175000,85,3
"738",175000,46,3
"739",195000,57.4,2
"740",2e+05,114.1,3
"741",230000,92,3
"742",219000,120.8,4
"743",180000,65,2
"744",140000,35,1
"745",185000,68.6,2
"746",255000,84.8,4
"747",2e+05,62.4,2
"748",240000,104.5,2
"749",259000,78.1,3
"750",220000,120,3
"751",245000,74.8,2
"752",190000,46.2,2
"753",220000,87,3
"754",160000,105.9,3
"755",225000,70.2,2
"756",2e+05,70.9,2
"757",230000,83.6,2
"758",240000,78.6,3
"759",230000,120,5
"760",190000,93,3
"761",165000,57.5,2
"762",2e+05,159,4
"763",155000,48.3,2
"764",210000,91.5,4
"765",220000,96.3,3
"766",279564,116.6,2
"767",2e+05,80,3
"768",210000,73.1,2
"769",219500,134.6,4
"770",205000,90,3
"771",130000,72.6,2
"772",170000,62,2
"773",213500,114.1,3
"774",220000,77,3
"775",190000,80,4
"776",173000,61.4,2
"777",195000,52,2
"778",250000,97,4
"779",246000,98,3
"780",220000,117,4
"781",160000,105.3,3
"782",220000,145,4
"783",180000,119.7,3
"784",180000,68.1,2
"785",223000,82,2
"786",155000,62.4,2
"787",195000,58.3,2
"788",250000,88,4
"789",155000,48.3,2
"790",212112,59,2
"791",240000,98,3
"792",150000,93.6,4
"793",219000,51.3,2
"794",2e+05,77.5,3
"795",260000,143.2,5
"796",215000,67.3,2
"797",2e+05,67,2
"798",238000,125.8,5
"799",165000,86,3
"800",213063,58,2
"801",130000,27.1,2
"802",135000,43,2
"803",215000,78.5,2
"804",220000,77,3
"805",155000,44.7,2
"806",190000,68.5,2
"807",207093,69.9,3
"808",275000,88.3,3
"809",255000,108.2,3
"810",2e+05,65.4,2
"811",2e+05,83.2,3
"812",275000,95.2,4
"813",210000,66,2
"814",268136,76,2
"815",185000,67,2
"816",250000,85.7,3
"817",245000,93.7,2
"818",235000,120.8,4
"819",180000,86,2
"820",170000,31.6,2
"821",2e+05,90.1,4
"822",148500,34.1,2
"823",142000,34,2
"824",275000,120.7,4
"825",245000,90,3
"826",180000,52,2
"827",155000,48.3,2
"828",2e+05,34,1
"829",220000,44,2
"830",2e+05,120,4
"831",135000,59.2,2
"832",120000,57,2
"833",190000,67.8,3
"834",160000,33,1
"835",185000,67.2,2
"836",265500,81,3
"837",265000,109.8,4
"838",145000,40,2
"839",230000,141,4
"840",2e+05,58,2
"841",250000,90,2
"842",317455,82.4,2
"843",225000,83.2,2
"844",114500,34.2,1
"845",187000,127.6,3
"846",150000,121.5,3
"847",130000,60.2,2
"848",160000,55,2
"849",126423,47.6,2
"850",177000,106.3,3
"851",150000,131.1,4
"852",220000,73.1,2
"853",260000,98,4
"854",120000,30,1
"855",270000,82,3
"856",260000,92.5,3
"857",165000,57.5,2
"858",80000,45,1
"859",233500,134.6,4
"860",140000,60.9,1
"861",210000,56.2,2
"862",150000,35,1
"863",169000,43.3,1
"864",230000,90,3
"865",220000,82,3
"866",114500,32,1
"867",173000,97.7,3
"868",114500,33.9,1
"869",245000,120,4
"870",218000,74.4,3
"871",205000,71.8,2
"872",223000,66.2,2
"873",138000,44,2
"874",110000,35,1
"875",255000,70,3
"876",284238,133.3,3
"877",210000,75,3
"878",114500,33.9,1
"879",165000,57,2
"880",114500,33.9,1
"881",150000,40,2
"882",240000,91,4
"883",315000,126.2,4
"884",170000,60,2
"885",240000,80,3
"886",250000,104.7,3
"887",225000,73.9,3
"888",167300,70.2,3
"889",160000,40,2
"890",121000,24.2,2
"891",280000,85.5,4
"892",249000,119,2
"893",171000,47.6,2
"894",230000,84.9,3
"895",2e+05,65,1
"896",170000,64.4,2
"897",160000,40,2
"898",149500,55,2
"899",230000,57.4,2
"900",191000,90,3
"901",190000,67.4,2
"902",170000,50,2
"903",195000,100,3
"904",182000,72,2
"905",253000,99.8,3
"906",285000,121.1,4
"907",230000,75,3
"908",243200,107.8,5
"909",2e+05,65,1
"910",150000,25,1
"911",160000,78,4
"912",180000,48,2
"913",250000,97,4
"914",219000,51.6,2
"915",215000,59,2
"916",238000,109.9,3
"917",190000,62.4,2
"918",161500,69.1,3
"919",145000,30.5,1
"920",260000,92,3
"921",180000,93,3
"922",137500,60,2
"923",230000,75,3
"924",164500,69,3
"925",130000,38,1
"926",235000,84.9,3
"927",185000,63,2
"928",285000,101.3,4
"929",210000,133.3,4
"930",150000,30,1
"931",260000,129,4
"932",220000,68,2
"933",170000,70,2
"934",180000,50.9,2
"935",240000,92.7,2
"936",207160,61.6,2
"937",270000,90,4
"938",238000,79.6,3
"939",263000,91.5,3
"940",270000,104.7,3
"941",205000,78.2,2
"942",250000,88.6,3
"943",222000,81,2
"944",215000,59,3
"945",145000,40,1
"946",3e+05,78.6,2
"947",190000,51,2
"948",195000,44.2,1
"949",235000,75.9,3
"950",275000,115.3,4
"951",255000,97,4
"952",225000,63,2
"953",210357,100.8,3
"954",210000,80,2
"955",250000,101.1,4
"956",160000,80,3
"957",192435,108.8,3
"958",110000,35,2
"959",2e+05,102,4
"960",261000,86.7,3
"961",175000,72.9,2
"962",240741,96.9,4
"963",215000,54,2
"964",150000,40,1
"965",171000,50,1
"966",275000,136,4
"967",152500,52.4,2
"968",2e+05,57.2,2
"969",160000,40,2
"970",155000,48.3,2
"971",267000,101.1,3
"972",215000,51.6,2
"973",180000,93.9,2
"974",130000,35,3
"975",140000,65,3
"976",220000,73.5,2
"977",220000,78.4,3
"978",180000,64,3
"979",170000,69,3
"980",218500,83,3
"981",210000,72.2,3
"982",177000,106,3
"983",180000,58,2
"984",170000,35,1
"985",114500,32.4,1
"986",215000,70.2,2
"987",150000,39.5,2
"988",160000,50,1
"989",250000,120,5
"990",236000,90.9,3
"991",239000,68.7,2
"992",210000,74.1,3
"993",261575,121,3
"994",115000,50,1
"995",2e+05,74,3
"996",274000,114.1,4
"997",195000,49,2
"998",250000,58.1,3
"999",215000,55,2
"1000",220000,81.6,4
"1001",180000,63,3
"1002",220000,115,5
"1003",127000,75.3,3
"1004",270000,140,4
"1005",232000,88.5,4
"1006",110000,38,1
"1007",245000,112,4
"1008",295000,126.5,4
"1009",225000,79.8,2
"1010",180000,67,2
"1011",240000,70,3
"1012",270000,106,3
"1013",3e+05,109.2,4
"1014",330000,110,3
"1015",177000,106.4,3
"1016",210000,68.3,3
"1017",295000,145,4
"1018",250000,84,4
"1019",255000,99.5,4
"1020",240000,96,3
"1021",185000,70,3
"1022",185000,45,1
"1023",205000,54,2
"1024",160000,67.6,3
"1025",190000,73,3
"1026",202000,54,2
"1027",190000,53,2
"1028",135000,70,3
"1029",210000,58.1,3
"1030",2e+05,80,3
"1031",120000,55.6,2
"1032",278000,91.7,3
"1033",150000,65,2
"1034",150000,53,2
"1035",235000,90.3,3
"1036",270000,100.5,4
"1037",260000,100.4,5
"1038",140000,42,1
"1039",242000,79.9,3
"1040",185000,117.6,4
"1041",225000,55.4,2
"1042",250000,84.1,3
"1043",1e+05,50,2
"1044",140000,44.8,2
"1045",245000,80,3
"1046",135500,34.1,1
"1047",255000,95.8,4
"1048",114500,30,1
"1049",288000,115.9,4
"1050",220000,75,3
"1051",195000,50.6,1
"1052",250000,101.5,4
"1053",160000,45,2
"1054",208000,54.4,1
"1055",190000,65.5,2
"1056",155000,42,2
"1057",230000,77.3,3
"1058",325000,121.9,4
"1059",180000,57.2,2
"1060",205000,55,3
"1061",195000,78.7,3
"1062",120000,46.5,2
"1063",268456,80.3,3
"1064",210000,129.4,3
"1065",2e+05,56.6,3
"1066",210000,68,2
"1067",149000,44.2,2
"1068",265000,74.6,2
"1069",225000,78,3
"1070",225000,100.4,3
"1071",220000,102.5,4
"1072",129000,62,2
"1073",260000,87.3,3
"1074",195000,86,3
"1075",117002,82.8,2
"1076",202000,61.5,2
"1077",210000,65.5,2
"1078",120000,55,2
"1079",190000,51.2,2
"1080",230000,74.2,3
"1081",250000,121.4,5
"1082",215000,77.4,3
"1083",155000,85.4,3
"1084",114500,32.4,1
"1085",160000,33.8,2
"1086",250000,295,5
"1087",260000,90,3
"1088",240000,60.2,2
"1089",245000,89.9,3
"1090",160000,60,2
"1091",235000,75.3,3
"1092",195000,54.7,2
"1093",95000,20.1,1
"1094",250000,80,3
"1095",255000,71.6,3
"1096",240000,98,3
"1097",150000,37.4,2
"1098",230000,130,5
"1099",180000,70,3
"1100",280000,105.1,4
"1101",2e+05,54.9,3
"1102",115500,34.2,1
"1103",210000,79,3
"1104",250000,105,3
"1105",180000,74.2,3
"1106",130000,37,2
"1107",125000,38,1
"1108",145000,41.3,2
"1109",295000,100.6,4
"1110",143000,34.1,2
"1111",177000,106.4,3
"1112",140000,35,2
"1113",175000,95.6,4
"1114",197000,55,2
"1115",230000,73,3
"1116",210000,90.4,5
"1117",170000,58.8,2
"1118",202000,55.1,2
"1119",230000,80.5,3
"1120",250000,52.4,2
"1121",216921,82,2
"1122",265000,95.8,3
"1123",359000,245,5
"1124",160000,52,2
"1125",110000,50,1
"1126",141750,55,2
"1127",180000,90,3
"1128",220000,90,2
"1129",215000,97.6,3
"1130",230000,86.1,3
"1131",2e+05,89.7,4
"1132",262000,77.9,3
"1133",107180,43.6,1
"1134",245000,67,3
"1135",275000,110.8,4
"1136",225000,82.2,3
"1137",276000,108,4
"1138",150000,84,1
"1139",235000,70,3
"1140",210000,68,3
"1141",143000,35.4,2
"1142",180000,40,2
"1143",235000,64,2
"1144",250000,91.1,4
"1145",250768,84,3
"1146",2e+05,85,3
"1147",450000,203,5
"1148",210000,79.3,3
"1149",2e+05,63.4,2
"1150",170000,40,1
"1151",285000,99.4,4
"1152",190000,70,3
"1153",195000,75,3
"1154",210000,101.6,4
"1155",2e+05,59.6,2
"1156",185000,38.9,1
"1157",154936,61.3,3
"1158",202000,75,3
"1159",260000,112.2,5
"1160",150000,48.7,1
"1161",185000,65,1
"1162",190000,46.9,2
"1163",195000,66.5,2
"1164",148018,67,2
"1165",148018,67,2
"1166",214200,92.6,4
"1167",148018,67,2
"1168",148018,67,2
"1169",148018,67,2
"1170",148018,67,2
"1171",148018,67,2
"1172",148018,67,2
"1173",162212,54.2,2
"1174",180000,43,3
"1175",129000,49.8,1
"1176",199800,85.1,3
"1177",215000,105,3
"1178",148018,67,2
"1179",148018,67,2
"1180",233000,105,3
"1181",269000,104.5,3
"1182",180000,78,3
"1183",240000,89.6,3
"1184",260000,101.6,5
"1185",148018,67,2
"1186",148018,67,2
"1187",148018,67,2
"1188",148018,50,1
"1189",127800,49.1,2
"1190",143800,55,2
"1191",148018,67,2
"1192",148018,67,2
"1193",148018,67,2
"1194",148018,67,2
"1195",148018,50,1
"1196",148018,50,1
"1197",170000,45.4,2
"1198",148018,67,2
"1199",148018,67,2
"1200",222000,70.4,1
"1201",148018,67,2
"1202",210000,60.6,3
"1203",148018,67,2
"1204",248000,85.4,4
"1205",195000,55.7,2
"1206",148018,67,2
"1207",150000,43,2
"1208",200900,85.1,3
"1209",148018,67,2
"1210",148018,67,2
"1211",148018,50,1
"1212",148018,67,2
"1213",240000,81.8,3
"1214",230000,51.8,2
"1215",150000,84,3
"1216",125400,48.2,2
"1217",148018,67,2
"1218",148018,67,2
"1219",215000,70.7,2
