"","trstplc","lrscale","rlgdgr","eduyrs","hinctnt","socialtrust","age"
"392",4,6,8,9,7,2,55
"393",7,5,3,18,9,5,30
"394",7,5,7,14,9,8,46
"395",7,2,0,13,11,7,42
"396",8,2,5,18,11,7.33333333333333,30
"397",9,7,1,3,10,5.66666666666667,38
"398",0,1,2,15,9,4.66666666666667,44
"399",10,10,10,4,NA,9,79
"400",8,3,8,15,7,8,67
"401",7,7,6,16,9,7.66666666666667,34
"402",NA,NA,NA,16,10,NA,31
"403",8,3,4,23,12,8,48
"404",8,6,8,14,12,7.33333333333333,54
"405",2,7,6,17,9,5.33333333333333,27
"406",6,7,2,16,1,4.66666666666667,60
"407",7,8,3,14,9,6.66666666666667,36
"408",6,7,8,12,9,1.66666666666667,36
"409",5,NA,3,9,4,2.33333333333333,30
"410",8,6,2,10,10,8.33333333333333,39
"411",8,3,8,16,10,5.33333333333333,42
"412",9,4,1,13,9,7,62
"413",4,0,7,12,NA,4.66666666666667,16
"414",8,NA,7,10,NA,3.66666666666667,15
"415",4,5,0,10,3,3.33333333333333,25
"416",6,5,7,10,9,6,19
"417",5,2,9,6,7,6.66666666666667,81
"418",8,9,8,16,9,6,40
"419",8,3,3,3,NA,8.66666666666667,42
"420",7,NA,6,8,NA,7,78
"421",8,5,9,15,8,6.33333333333333,51
"422",8,NA,2,12,11,6,21
"423",7,7,4,10,NA,5,22
"424",6,7,7,10,10,6.66666666666667,48
"425",10,6,8,19,8,7.33333333333333,31
"426",7,5,6,15,3,4.66666666666667,26
"427",5,7,5,15,10,3.33333333333333,37
"428",7,8,NA,9,10,6,41
"429",7,8,9,16,11,7.33333333333333,36
"430",9,3,6,11,9,7.33333333333333,54
"431",8,5,8,16,9,4,56
"432",8,5,7,10,NA,9.33333333333333,57
"433",7,7,3,10,7,6.33333333333333,29
"434",9,5,3,16,10,7,22
"435",8,3,7,16,NA,7.66666666666667,21
"436",7,5,9,14,6,7,67
"437",8,5,7,17,7,5,33
"438",8,4,8,14,9,7.33333333333333,45
"439",7,5,5,17,10,6.33333333333333,31
"440",6,5,5,14,8,7.33333333333333,31
"441",2,5,3,10,9,5,32
"442",9,3,8,18,8,6.33333333333333,29
"443",7,1,0,16,8,9,85
"444",5,8,7,16,7,6,26
"445",10,7,8,13,9,9,68
"446",8,7,0,15,9,6.33333333333333,32
"447",9,5,8,14,9,8,54
"448",10,8,8,9,NA,7.33333333333333,14
"449",7,7,9,20,10,7,42
"450",7,5,4,16,8,7.66666666666667,47
"451",7,5,9,18,9,6,29
"452",8,3,1,17,9,7.33333333333333,36
"453",7,5,7,14,10,7.33333333333333,20
"454",10,0,10,7,NA,7.66666666666667,76
"455",9,3,7,20,11,7.33333333333333,52
"456",9,NA,8,16,11,8,57
"457",8,7,10,17,11,2,31
"458",8,5,7,10,2,3.66666666666667,58
"459",9,8,0,12,7,10,67
"460",5,6,5,7,8,6,67
"461",7,8,5,15,9,4.66666666666667,34
"462",10,0,8,3,5,10,61
"463",10,5,8,12,10,9.33333333333333,52
"464",10,NA,7,7,5,2.66666666666667,86
"465",9,5,9,10,10,7.66666666666667,53
"466",8,5,9,13,9,7,56
"467",8,6,7,18,8,6.66666666666667,28
"468",3,5,8,12,5,5,34
"469",9,5,7,13,9,7.33333333333333,21
"470",7,5,5,10,9,5,51
"471",6,3,6,18,9,6,30
"472",8,4,5,15,4,6,59
"473",10,9,7,14,11,7.66666666666667,51
"474",10,NA,6,8,NA,3.33333333333333,61
"475",5,2,0,16,10,7.66666666666667,56
"476",2,5,8,7,9,2.66666666666667,58
"477",8,8,7,14,10,4.66666666666667,53
"478",8,10,10,21,8,6,27
"479",2,6,8,14,5,6,20
"480",7,6,2,14,10,7,19
"481",10,5,9,9,2,1.33333333333333,49
"482",6,3,6,15,NA,6.66666666666667,21
"483",2,NA,2,10,NA,NA,18
"484",8,8,7,16,9,6.33333333333333,22
"485",7,3,2,10,8,7,49
"486",10,7,6,16,9,8.66666666666667,61
"487",6,7,8,17,11,7,34
"488",6,4,6,13,8,7.33333333333333,58
"489",9,NA,10,10,9,8,34
"490",8,5,7,14,8,4,29
"491",5,2,0,12,NA,3.33333333333333,20
"492",10,7,8,18,10,7,46
"493",10,6,10,11,8,5.66666666666667,58
"494",7,6,5,12,9,4.33333333333333,28
"495",8,5,5,14,9,6,55
"496",9,7,5,15,8,5,27
"497",5,5,4,13,8,5.66666666666667,32
"498",6,6,7,13,10,4.33333333333333,61
"499",7,NA,8,13,6,4.66666666666667,44
"500",NA,3,NA,5,NA,5,77
"501",8,5,7,5,9,8,64
"502",8,6,5,4,NA,7.66666666666667,75
"503",7,4,6,16,9,7,25
"504",6,5,1,14,NA,4.66666666666667,34
"505",8,3,7,20,9,6.33333333333333,30
"506",9,3,8,18,10,8,41
"507",NA,6,NA,14,5,7,57
"508",10,10,6,11,NA,10,15
"509",9,5,8,18,8,8.66666666666667,26
"510",9,4,8,6,6,4,71
"511",10,0,8,16,7,7.33333333333333,47
"512",8,2,5,18,9,4.66666666666667,31
"513",8,1,9,10,9,6.66666666666667,47
"514",10,10,NA,NA,NA,5.33333333333333,NA
"515",8,4,7,13,3,5,40
"516",3,2,9,20,10,4,44
"517",7,7,8,13,10,6.33333333333333,52
"518",7,3,5,7,9,6.33333333333333,69
"519",7,2,8,14,3,5,25
"520",6,5,3,9,NA,7,14
"521",8,5,7,11,7,4,76
"522",8,4,4,14,NA,6.33333333333333,19
"523",6,3,6,20,10,6.66666666666667,39
"524",7,3,1,7,NA,5,77
"525",8,5,8,19,9,7.33333333333333,51
"526",9,4,5,14,NA,6.66666666666667,52
"527",6,3,6,18,9,8,40
"528",10,5,8,8,7,9,59
"529",9,9,7,17,10,7.66666666666667,25
"530",5,4,8,20,NA,6.66666666666667,41
"531",0,9,10,5,5,4.33333333333333,81
"532",8,6,5,8,NA,7.66666666666667,84
"533",10,0,8,9,NA,7.66666666666667,60
"534",7,5,3,14,NA,7.66666666666667,19
"535",8,3,8,13,10,6.66666666666667,55
"536",6,7,5,12,9,5,55
"537",8,8,7,14,NA,6.33333333333333,20
"538",9,8,7,10,12,5,61
"539",10,8,5,11,7,7.33333333333333,49
"540",5,5,6,19,11,1.66666666666667,47
"541",7,3,0,20,10,4.33333333333333,48
"542",8,5,7,14,10,8.33333333333333,37
"543",3,10,5,14,7,2.33333333333333,29
"544",6,7,6,13,9,6,29
"545",8,5,7,19,8,8.33333333333333,40
"546",7,3,8,17,9,8,40
"547",6,5,2,16,11,6.66666666666667,49
"548",6,3,8,10,7,7.66666666666667,38
"549",7,5,4,13,9,6.33333333333333,55
"550",NA,NA,NA,NA,NA,NA,NA
"551",7,5,5,14,9,7.66666666666667,50
"552",7,3,0,17,8,7.66666666666667,25
"553",10,3,9,8,5,7.66666666666667,80
"554",7,7,8,5,9,7.33333333333333,76
"555",7,7,6,14,9,7,37
"556",9,6,8,20,9,8.33333333333333,45
"557",5,3,9,10,10,7.33333333333333,52
"558",8,2,9,25,6,7,54
"559",8,3,10,12,NA,9.66666666666667,46
"560",7,2,6,8,7,7.66666666666667,81
"561",8,7,7,11,6,6.33333333333333,71
"562",9,4,2,14,NA,7.33333333333333,19
"563",8,8,0,10,NA,5.66666666666667,15
"564",3,7,5,16,10,6.33333333333333,32
"565",1,10,1,17,10,4,32
"566",8,5,2,2,10,5.66666666666667,32
"567",8,3,5,12,NA,6,17
"568",8,5,8,16,9,5.66666666666667,52
"569",8,5,8,16,NA,3.33333333333333,52
"570",4,5,4,10,NA,4.66666666666667,15
"571",8,5,8,7,10,7.66666666666667,58
"572",9,NA,6,12,NA,5.66666666666667,16
"573",9,8,6,15,10,8.66666666666667,48
"574",8,5,5,3,5,5.33333333333333,83
"575",10,5,9,3,NA,10,77
"576",10,5,9,11,9,7,19
"577",5,3,1,14,7,6.66666666666667,20
"578",9,7,9,18,10,7.66666666666667,40
"579",7,8,8,10,NA,NA,82
